team,elo,matches_played,first_match_date,last_match_date_x,career_points_per_game,career_goals_for_per_game,career_goals_against_per_game,career_goal_diff_per_game,career_win_rate,career_clean_sheet_rate,last_5_matches,last_5_points_per_game,last_5_goals_for_per_game,last_5_goals_against_per_game,last_5_goal_diff_per_game,last_5_win_rate,last_5_clean_sheet_rate,last_5_failed_to_score_rate,last_10_matches,last_10_points_per_game,last_10_goals_for_per_game,last_10_goals_against_per_game,last_10_goal_diff_per_game,last_10_win_rate,last_10_clean_sheet_rate,last_10_failed_to_score_rate,last_20_matches,last_20_points_per_game,last_20_goals_for_per_game,last_20_goals_against_per_game,last_20_goal_diff_per_game,last_20_win_rate,last_20_clean_sheet_rate,last_20_failed_to_score_rate,last_50_matches,last_50_points_per_game,last_50_goals_for_per_game,last_50_goals_against_per_game,last_50_goal_diff_per_game,last_50_win_rate,last_50_clean_sheet_rate,last_50_failed_to_score_rate,custom_elo,strength_score_v1,matches,weighted_goals_for,weighted_goals_against,attack_rating,defense_rating,last_10_goals_for,last_10_goals_against,last_20_goals_for,last_20_goals_against,last_50_goals_for,last_50_goals_against,last_match_date_y,net_rating,market_value_eur,elo_norm,market_norm,attack_norm,defense_norm,form_norm,intelligence_score,decimal_odds,market_champion_prob,source,market_score,intelligence_score_v2
Belgium,1784.6225334771557,314.0,1990-01-17,2026-03-31,1.71656050955414,1.751592356687898,1.0987261146496816,0.6528662420382165,0.4936305732484076,0.3662420382165605,5.0,2.2,3.8,0.8,3.0,0.6,0.4,0.0,10.0,2.0,3.3,1.1,2.2,0.6,0.4,0.1,20.0,1.55,2.2,1.05,1.15,0.45,0.35,0.3,50.0,1.76,2.04,1.04,1.0,0.52,0.38,0.18,1744.7753743894657,1051.1489184752595,314.0,2.0959530818200474,0.9829336842931072,1.6020558577951745,0.716603632145322,3.3,1.1,2.2,1.05,2.04,1.04,2026-03-31,0.8391128595959786,548200000.0,0.7274251852417042,0.7823068412412533,0.7257398686458872,0.4784607132975946,0.7407407407407407,0.7048796865105061,34.0,0.0246378623257602,bet365,0.1682538036245112,0.6119494912628105
Japan,1855.7452085866976,380.0,1990-09-26,2026-03-31,1.8526315789473684,1.9894736842105265,1.0052631578947369,0.9842105263157894,0.5473684210526316,0.431578947368421,5.0,3.0,2.0,0.4,1.6,1.0,0.8,0.0,10.0,2.3,2.0,0.5,1.5,0.7,0.7,0.2,20.0,2.25,2.6,0.7,1.9,0.7,0.55,0.1,50.0,2.24,2.92,0.78,2.14,0.7,0.42,0.12,1850.8787164104665,1230.89542238471,380.0,2.26682407995266,0.9292050701823248,1.5923218462832966,0.6525421104789503,2.0,0.5,2.6,0.7,2.92,0.78,2026-03-31,1.00844002793865,279050000.0,0.8485682352558163,0.6342969037801512,0.801738850515875,0.5177817070382441,0.8518518518518517,0.7386863771028765,51.0,0.0164252415505068,bet365,0.1112528584840265,0.5902682321405577
Senegal,1812.548824779064,331.0,1990-01-24,2026-03-31,1.770392749244713,1.444108761329305,0.8308157099697885,0.6132930513595166,0.5015105740181269,0.459214501510574,5.0,2.4,1.4,0.8,0.6,0.8,0.6,0.2,10.0,2.4,2.4,0.7,1.7,0.8,0.6,0.2,20.0,2.6,2.2,0.4,1.8,0.85,0.75,0.15,50.0,2.18,1.76,0.62,1.14,0.66,0.58,0.22,1793.5993824816353,1197.1197221167358,331.0,1.652790213747091,0.7203580363696226,1.241632308823363,0.5449032237652168,2.4,0.7,2.2,0.4,1.76,0.62,2026-03-31,0.7029669316428727,468000000.0,0.7831697936728734,0.7476366616565026,0.5286325353698826,0.726337842496675,0.8888888888888888,0.7381530387685039,126.0,0.0066483120561575,bet365,0.042791018475405,0.5745102498885698
Colombia,1882.3845102844891,393.0,1990-02-02,2026-03-29,1.5903307888040712,1.2697201017811706,0.905852417302799,0.3638676844783715,0.4274809160305343,0.455470737913486,5.0,1.4,1.8,1.0,0.8,0.4,0.6,0.2,10.0,1.6,2.1,1.1,1.0,0.4,0.5,0.2,20.0,1.45,1.85,1.05,0.8,0.4,0.4,0.25,50.0,1.84,1.6,0.8,0.8,0.52,0.46,0.28,1821.738144608152,1009.7821650736682,393.0,1.4113322803365052,0.8763675584263346,1.0897315024933505,0.6535042637938003,2.1,1.1,1.85,1.05,1.6,0.8,2026-03-29,0.4033135258760351,308950000.0,0.815297108446362,0.6566082305484685,0.4212383180703851,0.5611526764967539,0.5925925925925926,0.6561239540376739,34.0,0.0246378623257602,bet365,0.1682538036245112,0.5972029824332235
Croatia,1844.7448138608356,333.0,1990-12-22,2026-03-31,1.8258258258258255,1.6546546546546546,0.975975975975976,0.6786786786786787,0.5195195195195195,0.4084084084084084,5.0,2.4,2.6,1.2,1.4,0.8,0.4,0.0,10.0,1.9,2.3,1.0,1.3,0.6,0.4,0.2,20.0,1.75,1.95,1.25,0.7,0.5,0.3,0.2,50.0,1.9,1.82,0.98,0.84,0.54,0.38,0.2,1795.3548264025983,1031.9096718811693,333.0,1.6756014357540756,1.0608747536151828,1.294301271823456,0.7612535294496847,2.3,1.0,1.95,1.25,1.82,0.98,2026-03-31,0.4634466077281723,370700000.0,0.7851740644777657,0.6965481992989653,0.5387783744337807,0.4284995360759572,0.7037037037037036,0.6644100293387902,81.0,0.0103418187540228,bet365,0.0687322135113353,0.5745045469094332
Uruguay,1824.3068956812497,366.0,1990-02-02,2026-03-31,1.546448087431694,1.4398907103825136,1.098360655737705,0.3415300546448087,0.4207650273224044,0.3633879781420765,5.0,1.4,0.6,0.4,0.2,0.2,0.6,0.6,10.0,1.4,0.8,0.5,0.3,0.3,0.6,0.6,20.0,1.2,0.75,0.65,0.1,0.2,0.5,0.6,50.0,1.7,1.48,0.78,0.7,0.46,0.5,0.36,1784.5235434765625,949.0355945644532,366.0,1.4691978276808992,0.942618358319669,1.0683010891349145,0.703712882791682,0.8,0.5,0.75,0.65,1.48,0.78,2026-03-31,0.3969918272062637,371100000.0,0.7728074921885908,0.6967845897844493,0.4469754105646332,0.5075454207192297,0.5185185185185185,0.6397087462565503,67.0,0.0125027958071022,bet365,0.0838658107854402,0.5624664735436288
Switzerland,1803.821214340636,328.0,1990-03-31,2026-03-31,1.6128048780487805,1.600609756097561,1.1341463414634143,0.4664634146341463,0.4451219512195122,0.3323170731707317,5.0,1.2,1.6,1.2,0.4,0.2,0.4,0.4,10.0,2.1,2.4,0.9,1.5,0.6,0.5,0.2,20.0,1.45,1.75,1.3,0.45,0.35,0.3,0.2,50.0,1.56,1.72,1.22,0.5,0.4,0.32,0.22,1760.3946665499177,1026.177599947463,328.0,1.7112991329933749,1.1493475356768004,1.2764265454454709,0.8211488688341162,2.4,0.9,1.75,1.3,1.72,1.22,2026-03-31,0.4236591139620503,338600000.0,0.7452584471855566,0.6766950862184471,0.5546557829755409,0.3799987434188628,0.7777777777777778,0.6479901848064948,81.0,0.0103418187540228,bet365,0.0687322135113353,0.551064143889102
Algeria,1769.8439194465643,320.0,1990-01-12,2026-03-31,1.83125,1.70625,0.940625,0.765625,0.53125,0.403125,5.0,2.0,2.4,0.4,2.0,0.6,0.8,0.4,10.0,2.3,2.5,0.5,2.0,0.7,0.6,0.3,20.0,2.4,2.7,0.7,2.0,0.75,0.5,0.2,50.0,2.32,2.08,0.68,1.4,0.72,0.48,0.14,1763.3602537837082,1199.5121142026687,320.0,2.066225953727012,0.8252065702223398,1.4666911033359664,0.6397375435751251,2.5,0.5,2.7,0.7,2.08,0.68,2026-03-31,0.9356129156602938,226800000.0,0.7486443940911045,0.5888532721387064,0.7125180141844532,0.6084399844708469,0.8518518518518517,0.6925677409500434,401.0,0.0020889958081691,bet365,0.0106372638609992,0.5176301731078048
Italy,1802.3727172720928,369.0,1990-02-21,2025-11-16,1.8943089430894309,1.5745257452574526,0.8428184281842819,0.7317073170731707,0.5311653116531165,0.4471544715447154,5.0,2.4,2.8,1.8,1.0,0.8,0.4,0.0,10.0,1.9,2.5,1.7,0.8,0.6,0.4,0.1,20.0,1.8,2.05,1.5,0.55,0.55,0.25,0.15,50.0,1.74,1.74,1.28,0.46,0.5,0.3,0.18,1802.3727172720928,981.0677227724418,369.0,1.709318094683172,0.9841169093499984,1.288666484677352,0.7419324010132048,2.5,1.7,2.05,1.5,1.74,1.28,2025-11-16,0.5467340836641471,309900000.0,0.793186712226679,0.6572811999822861,0.553774668589447,0.4776430940974104,0.7037037037037036,0.6670186840483081,999.0,0.0005852107019491,not_listed,0.0,0.5330023638911969
Denmark,1735.3671808673998,326.0,1990-02-14,2025-11-18,1.7668711656441718,1.647239263803681,0.9601226993865032,0.6871165644171779,0.5122699386503068,0.401840490797546,5.0,2.0,3.2,1.4,1.8,0.6,0.4,0.0,10.0,1.8,2.4,1.2,1.2,0.5,0.6,0.2,20.0,1.55,1.8,1.1,0.7,0.4,0.45,0.25,50.0,1.66,1.76,1.02,0.74,0.48,0.4,0.22,1735.3671808673998,980.91523139033,326.0,1.7414185522613548,0.9735973529678398,1.3128672369846506,0.7340016362330695,2.4,1.2,1.8,1.1,1.76,1.02,2025-11-18,0.5788656007515811,396000000.0,0.7166834193681987,0.7110195662380795,0.568052118362458,0.48498190982235,0.6666666666666666,0.6532158592327773,999.0,0.0005852107019491,not_listed,0.0,0.5223974511003353
