match_id,group,home_team,away_team,expected_home_goals,expected_away_goals,final_home_xg,final_away_xg,home_injury_multiplier,away_injury_multiplier,home_squad_attack_factor,away_squad_attack_factor,home_squad_defense_factor,away_squad_defense_factor,home_upset_attack_multiplier,away_upset_attack_multiplier,home_odds_attack_multiplier,away_odds_attack_multiplier,home_motivation_attack_multiplier,away_motivation_attack_multiplier,home_motivation_defense_multiplier,away_motivation_defense_multiplier,injury_effect,squad_effect,upset_effect,odds_effect,motivation_effect,home_prob_drift,away_prob_drift
1,A,Mexico,South Africa,1.118584727048944,0.8460586693123444,1.1797484233727975,0.8159261194198357,1.0,1.0,1.0024406224962468,0.9648219084220984,0.9930762586376579,0.9612671756963796,1.0,1.0,1.01136047184055,0.9926263482762432,1.0,1.0,1.0,1.0,0.0,0.04791174598979596,0.0,0.013251950334057499,0.0,0.0151472957873999,-0.0098315356316759
2,A,Mexico,South Korea,1.146134634770216,1.182628269391142,1.2306960179534094,1.116866958379446,1.0,1.0,1.0024406224962468,0.94,0.9930762586376579,0.94,1.0,1.0,1.0068953956428468,0.997718287354834,1.0,1.0,1.0,1.0,0.0,0.07613336176549008,0.0,0.008428021417703397,0.0,0.009193860857129,-0.0030422835268879
3,A,Mexico,Czechia,1.433146579180946,1.1062203169415017,1.3966869790346663,1.09539214642657,1.0,1.0,1.0024406224962468,0.9833555918788067,0.9930762586376579,1.0286086793445046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.036459600146279504,0.0,0.0,0.0,0.0,0.0
4,A,South Africa,South Korea,0.8622835599985555,1.1763353033287,0.8835045392941561,1.1515832083379227,1.0,1.0,0.9648219084220984,0.94,0.9612671756963796,0.94,1.0,1.0,0.998250131738828,1.0011068934117182,1.0,1.0,1.0,1.0,0.0,0.02276970591506936,0.0,-0.0015487266194688398,0.0,-0.0023331576815626,0.0014758578822908
5,A,South Africa,Czechia,1.0782142837378388,1.1003339305830218,1.0113513368240714,1.1256178832788541,1.0,1.0,0.9648219084220984,0.9833555918788067,0.9612671756963796,1.0286086793445046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.06686294691376732,0.0,0.0,0.0,0.0,0.0
6,A,South Korea,Czechia,1.50713743462505,1.1274343347965865,1.3754898753058165,1.1779886631880523,1.0,1.0,0.94,0.9833555918788067,0.94,1.0286086793445046,1.0,1.0,0.9986811940851396,0.9987737418686388,1.0,1.0,1.0,1.0,0.0,-0.12983115965723152,0.0,-0.0018163996620019635,0.0,-0.0017584078864804,-0.0016350108418151
7,B,Canada,Bosnia and Herzegovina,1.8454911611156997,0.943139070322085,1.8456628071061723,0.924862883888502,1.0,1.0,0.9871124348511822,0.9793954770605283,0.9934909772381617,0.9895320151075526,0.9939248385138622,1.0,1.0086722529674743,0.9947351119823208,1.0,1.0,1.0,1.0,0.0,-0.004512551295529705,-0.011184242347183092,0.015868439633185398,0.0,0.0115630039566325,-0.007019850690239
8,B,Canada,Qatar,1.612831413604296,1.080501770256439,1.6967731562960846,1.0307474372895917,1.0,1.0,0.9871124348511822,0.9540328487633444,0.9934909772381617,0.9437845513421398,0.9936365919829556,1.0,1.0123098807309334,0.9934073749863224,1.0,1.0,1.0,1.0,0.0,0.07404292802737125,-0.010734269709285415,0.020633084373702686,0.0,0.0164131743079112,-0.0087901666849035
9,B,Canada,Switzerland,1.289546699699338,1.3373115524308,1.2582782532490755,1.3496801465728419,1.0,1.0,0.9871124348511822,1.0026796264043965,0.9934909772381617,1.0116423607478056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.031268446450262694,0.0,0.0,0.0,0.0,0.0
10,B,Bosnia and Herzegovina,Qatar,1.2480918127681784,1.6361355330327727,1.3112046870954546,1.5646511705033763,1.0,1.0,0.9793954770605283,0.9540328487633444,0.9895320151075526,0.9437845513421398,1.0,1.0,1.012368745315001,0.9918928832030002,1.0,1.0,1.0,1.0,0.0,0.04709306246961871,0.0,0.016019811857657638,0.0,0.0164916604200013,-0.0108094890626664
11,B,Bosnia and Herzegovina,Switzerland,0.9979174912523424,2.025006353435183,0.9661080984090786,2.039446300980198,1.0,1.0,0.9793954770605283,1.0026796264043965,0.9895320151075526,1.0116423607478056,1.0,0.9939248385138622,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.03180939284326381,0.0,0.0,0.0,0.0,0.0
12,B,Qatar,Switzerland,1.143258348421293,1.7697152543359116,1.0706590370081575,1.8975687827802978,1.0,1.0,0.9540328487633444,1.0026796264043965,0.9437845513421398,1.0116423607478056,1.0,0.9936365919829556,0.9930485546703298,1.015727544368283,1.0,1.0,1.0,1.0,0.0,-0.06510458446602232,0.0,-0.007494726947113192,0.0,-0.0092685937728935,0.0209700591577104
13,C,Brazil,Morocco,0.8820551897961445,0.9225331689142834,0.8934226410101886,0.931336625815592,1.0,1.0,1.0394427717847101,1.016808260342379,1.012539649200919,1.0139582446146433,1.0,1.0,0.9880540026688556,1.0053045896395405,1.0,1.0,1.0,1.0,0.0,0.022169314731891404,0.0,-0.010801863517847314,0.0,-0.0159279964415257,0.0070727861860541
14,C,Brazil,Haiti,2.346299306193812,0.815477434738434,2.5282070458611816,0.7813218976606674,1.0,1.0,1.0394427717847101,0.9661417778012437,1.012539649200919,0.9500673168075842,0.9965726583075852,1.0,0.9882664499311078,1.004128339382671,1.0,1.0,1.0,1.0,0.0,0.2207228522587494,-0.008798062069017005,-0.030017050522362844,0.0,-0.0156447334251896,0.005504452510228
15,C,Brazil,Scotland,2.160449605137733,0.6453133339657713,2.246841286747633,0.6261644910810941,1.0,1.0,1.0394427717847101,0.9824938379081325,1.012539649200919,0.990347067472373,0.9908663767317744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.10710264964611158,-0.020710968036211246,0.0,0.0,0.0,0.0
16,C,Morocco,Haiti,2.005367030858025,0.6664018228369872,2.051850503593671,0.6449447748848562,1.0,1.0,1.016808260342379,0.9661417778012437,1.0139582446146433,0.9500673168075842,0.9965726583075852,1.0,0.9593082717763182,1.0157002536240147,1.0,1.0,1.0,1.0,0.0,0.14087432059315957,-0.007355902465813255,-0.08703494539170044,0.0,-0.0542556376315757,0.0209336714986863
17,C,Morocco,Scotland,1.8465224784137453,0.5273450419799035,1.8785438465683095,0.5109808583819647,1.0,1.0,1.016808260342379,0.9824938379081325,1.0139582446146433,0.990347067472373,0.9908663767317744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.04933743840410814,-0.017316070249543878,0.0,0.0,0.0,0.0
18,C,Haiti,Scotland,1.6322420316397392,1.4027572428978663,1.620903197621651,1.4060856802056403,1.0,1.0,0.9661417778012437,0.9824938379081325,0.9500673168075842,0.990347067472373,1.0,1.0,1.0179327322193272,0.9692901703886966,1.0,1.0,1.0,1.0,0.0,-0.03989398513600859,0.0,0.028555151117920227,0.0,0.0239103096257695,-0.0409464394817379
19,D,United States,Paraguay,1.646747493038911,0.7550680473204651,1.6669450826071308,0.7343042417377048,1.0,1.0,1.0074755140228533,0.9869034446633037,1.0118381121130329,0.9831295140103774,0.9872112923891758,1.0,1.0005997755622271,0.9970715245235116,1.0,1.0,1.0,1.0,0.0,0.04077968763497692,-0.021581291698956822,0.0009991936321999033,0.0,0.0007997007496364,-0.0039046339686513
