version,matches,accuracy_1x2,exact_score_accuracy,avg_goal_error,log_loss
v15_market,64,0.546875,0.09375,1.9556629804090744,1.3306503125247215
v16_conf_market,64,0.53125,0.09375,1.951832950034336,1.357279266584297
